dataset_id,version,timestamp,model_name,composite_score,cv_score,test_score,train_score,f1_score,roc_auc,rmse,mae,cv_std,overfit_gap,overfit_penalty,train_set_size,test_set_size,best_params
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,knn,0.9221,0.9573,0.9217,1.0,,,6325.8386,5804.0536,0.0165,0.0783,0.0,24,6,"{""weights"": ""distance"", ""n_neighbors"": 3, ""metric"": ""manhattan""}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,random_forest,0.886,0.9528,0.8842,0.9961,,,7690.1363,6966.3372,0.0231,0.1119,0.0095,24,6,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""min_impurity_decrease"": 0.0, ""max_features"": 0.5, ""max_depth"": 8}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,elastic_net,0.8685,0.9333,0.904,0.9546,,,7001.7024,5894.626,0.0347,0.0506,0.0,24,6,"{""l1_ratio"": 0.3, ""alpha"": 0.1}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,ridge,0.8664,0.9342,0.9057,0.9573,,,6939.8914,5973.8925,0.0362,0.0516,0.0,24,6,"{""alpha"": 1.0}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,lasso,0.8655,0.9447,0.8928,0.9665,,,7401.5199,6490.8619,0.0373,0.0737,0.0,24,6,"{""alpha"": 10.0}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,linear_regression,0.8642,0.9449,0.8914,0.9665,,,7449.4361,6515.6819,0.0378,0.0752,0.0,24,6,{}
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,gradient_boosting,0.7896,0.9366,0.8236,1.0,,,9493.1142,8760.7586,0.0323,0.1764,0.0611,24,6,"{""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_depth"": 4, ""learning_rate"": 0.05}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,decision_tree,0.4884,0.8796,0.6751,0.9675,,,12882.5118,10024.6889,0.118,0.2924,0.1539,24,6,"{""min_samples_split"": 2, ""min_samples_leaf"": 3, ""max_depth"": null, ""ccp_alpha"": 0.01}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,lightgbm,-0.103,-0.0966,-0.1235,-0.0014,,,23955.8764,19993.8333,0.1404,0.1221,0.0177,24,6,"{""subsample"": 0.8, ""reg_lambda"": 2.0, ""reg_alpha"": 0.0, ""num_leaves"": 63, ""n_estimators"": 300, ""max_depth"": 6, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}"
c94b58c4-1e11-4d3e-a6e9-2fcbdc12ac7e,v1,2026-03-23T17:33:49.284565+00:00,svm,-0.4494,-0.0003,-0.3875,0.1287,,,26622.1694,19609.5197,0.1863,0.5162,0.333,24,6,"{""kernel"": ""linear"", ""gamma"": ""auto"", ""C"": 100.0}"
